inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id
MIRANO,https://e.nexoinmobiliario.pe/customers/inversiones-mirano-sac/logo-30-20231027061758.jpg,Litoral 900,En Construcción,513447,"Av. del Ejercito 890, Miraflores. ",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2936-litoral-900-miraflores-lima-lima-mirano,https://e.nexoinmobiliario.pe/customers/inversiones-mirano-sac/2936-litoral-900/departamentos-miraflores-65577be589cc8_xm.jpg,Miraflores,150122
GRUPO T&C,https://e.nexoinmobiliario.pe/customers/grupo-t-c/logo-63-20240205185740.png,PARDO COAST,En Construcción,441871,av jose pardo 1010 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2951-pardo-coast-miraflores-lima-lima-grupo-t-c,https://e.nexoinmobiliario.pe/customers/grupo-t-c/2951-pardo-coast/departamentos-miraflores-65e86e8f7c9a1_xm.jpg,Miraflores,150122
CHECOR INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/logo-308-20231027061807.jpg,Checor | Porta 360,En Construcción,615400,Calle Porta 360,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2952-checor-porta-360-miraflores-lima-lima-checor-inmobiliaria,https://e.nexoinmobiliario.pe/customers/checor-inmobiliaria/2952-checor-porta-360/departamentos-miraflores-66f73828bc219_xm.jpg,Miraflores,150122
HL DESARROLLOS INMOBILIARIOS,https://e.nexoinmobiliario.pe/customers/hpc-di/logo-474-20241002172403.png,MF Work & Living Apartments,En Construcción,363897,Av. Paseo de la República N° 6334 - 6338,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3004-mf-work-living-apartments-miraflores-lima-lima-hl-desarrollos-inmobiliarios,https://e.nexoinmobiliario.pe/customers/hpc-di/3004-mf-work-living-apartments/departamentos-miraflores-64ae308d941ad_xm.jpg,Miraflores,150122
EE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/logo-366-20231027061809.jpg,Centrix 28,En Construcción,353500,AV. 28 de Julio 1109 con Cl. Francisco del Castillo N° 359 - 365,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3025-centrix-28-miraflores-lima-lima-ee-inmobiliaria,https://e.nexoinmobiliario.pe/customers/espacios-y-estructuras-inmobiliarias-s-a-c/3025-centrix-28/departamentos-miraflores-6701573b7d733_xm.jpg,Miraflores,150122
SOHO INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/zuma-inmobiliaria/logo-185-20240708090608.jpg,Soho Select,En Construcción,649400,Calle Santa Isabel 194,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3041-soho-select-miraflores-lima-lima-soho-inmobiliaria,https://e.nexoinmobiliario.pe/customers/zuma-inmobiliaria/3041-soho-select/departamentos-miraflores-66882a2688c2e_xm.jpg,Miraflores,150122
EDIFICA,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/logo-47-20231027061759.jpg,Upper 28,En Construcción,607086,Av. 28 de julio 551,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3051-upper-28-miraflores-lima-lima-edifica,https://e.nexoinmobiliario.pe/customers/gerencia-de-proyectos-edifica-s-a-c/3051-upper-28/departamentos-miraflores-64de51eea35b1_xm.jpg,Miraflores,150122
LLOSA EDIFICACIONES URBAN,https://e.nexoinmobiliario.pe/customers/llosa-coorporativo-s-a-c/logo-482-20231027061813.jpg,COSMOS,En Construcción,595652,óvalo julio ramon ribeyro,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3067-cosmos-miraflores-lima-lima-llosa-edificaciones-urban,https://e.nexoinmobiliario.pe/customers/llosa-coorporativo-s-a-c/3067-cosmos/departamentos-miraflores-6502261170eb4_xm.jpg,Miraflores,150122
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/logo-108-20231027061800.jpg,Albamar | O2,En Construcción,495167,"Calle José Domingo Choquehuanca 174, Miraflores",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/3165-albamar-o2/departamentos-miraflores-673e185c1a767_xm.jpg,Miraflores,150122
BINDA Y ASOCIADOS,https://e.nexoinmobiliario.pe/customers/binda-y-asociados/logo-12-20231027061757.jpg,Milano - 28 de Julio,En Construcción,681412,Av 28 de Julio 420,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3169-milano-28-de-julio-miraflores-lima-lima-binda-y-asociados,https://e.nexoinmobiliario.pe/customers/binda-y-asociados/3169-milano-28-de-julio/departamentos-miraflores-6601e6ea80ebb_xm.jpg,Miraflores,150122
