fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"31 de Octubre, 2023",55.00 a 119.00 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-edificio-vista-verde-cercado-de-lima-lima-lima-grupo-mg
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,9 unidades disponibles,Entre 7 al 19,3 dorm.,66.26 m2,X03,"440,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,5 unidades disponibles,"9, 10, 11, 16, 19",3 dorm.,69.41 m2,X08,"518,049",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,12 y 14,3 dorm.,66.61 m2,X01 B,"511,791",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,3 unidades disponibles,"7, 11, 13",3 dorm.,66.61 m2,X01 C,"517,166",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,12 y 14,3 dorm.,66.26 m2,X02 B,"508,980",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"11, 15, 17, 19",3 dorm.,66.26 m2,X02 C,"487,232",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
"30 de Septiembre, 2024",66.26 a 129.36 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
