inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id,fecha,medidas,tipo,dormitorios
YOPLAC ASOCIADOS,https://e.nexoinmobiliario.pe/customers/yoplac-asociados/logo-521-20240917123843.jpg,RESIDENCIAL PIZARRO,En Construcción,386722,Jirón General Jose Ramon Pizarro 682 - 686,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3272-residencial-pizarro-pueblo-libre-lima-lima-yoplac-asociados,https://e.nexoinmobiliario.pe/customers/yoplac-asociados/3272-residencial-pizarro/departamentos-pueblo-libre-66e9c6cabdad7_xm.jpg,Pueblo Libre,150121,"30 de Abril, 2025",58.00 a 168.00 m2,Departamento,2 a 5 dormitorios
INIZIA INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/inizia/logo-533-20240313155802.png,Aragón 375,En Construcción,457100,Aragon 375,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3283-aragon-375-pueblo-libre-lima-lima-inizia-inmobiliaria,https://e.nexoinmobiliario.pe/customers/inizia/3283-aragon-375/departamentos-pueblo-libre-65e62e3ced101_xm.jpg,Pueblo Libre,150121,"30 de Abril, 2025",66.48 a 74.01 m2,Departamento,2 a 3 dormitorios
URBANA PERÚ,https://e.nexoinmobiliario.pe/customers/urbana-peru/logo-84-20231027061800.jpg,Belalba,En Planos,226855,CALLE LORETO 150 – PUEBLO LIBRE,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3305-belalba-pueblo-libre-lima-lima-urbana-perú,https://e.nexoinmobiliario.pe/customers/urbana-peru/3305-belalba/departamentos-pueblo-libre-6769c879c942e_xm.jpg,Pueblo Libre,150121,"30 de Diciembre, 2026",39.70 a 124.53 m2,Departamento,1 a 2 dormitorios
GRUPO SOL,https://e.nexoinmobiliario.pe/customers/gadal-inversiones-sac/logo-250-20231027061804.jpg,HOMELY,En Construcción,349000,jr mariano arce 233,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3311-homely-pueblo-libre-lima-lima-grupo-sol,https://e.nexoinmobiliario.pe/customers/gadal-inversiones-sac/3311-homely/departamentos-pueblo-libre-6630119286e80_xm.jpg,Pueblo Libre,150121,"31 de Octubre, 2025",47.55 a 151.28 m2,Departamento,1 a 3 dormitorios
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/logo-426-20240917125426.jpg,Avellana,En Planos,238714,Av. Brasil 1350,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3322-avellana-pueblo-libre-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/3322-avellana/departamentos-pueblo-libre-66428a711b226_xm.jpg,Pueblo Libre,150121,"31 de Julio, 2027",38.15 a 72.14 m2,Departamento,1 a 3 dormitorios
QUARK GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/ingocasa/logo-10-20240522162504.png,Edificio UGARTECHE,En Planos,340900,"Jirón José Gregorio Paredes 2729, Pueblo Libre",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3343-edificio-ugarteche-pueblo-libre-lima-lima-quark-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/ingocasa/3343-edificio-ugarteche/departamentos-pueblo-libre-663a33a4d8366_xm.jpg,Pueblo Libre,150121,"30 de Septiembre, 2025",55.90 a 126.18 m2,Departamento,2 a 3 dormitorios
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario/logo-87-20231027061800.jpg,Kaurí,En Planos,240000,Av Manuel Cipriano Dulanto 1351,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3346-kauri-pueblo-libre-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario/3346-kauri/departamentos-pueblo-libre-675c95d10add4_xm.jpg,Pueblo Libre,150121,"30 de Noviembre, 2026",38.94 a 81.22 m2,Departamento,1 a 3 dormitorios
CONCRETA GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/concreta-grupo-inmobiliario/logo-408-20231027061810.jpg,Alameda Rio Grande,En Planos,399000,Rio Grande 321,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3352-alameda-rio-grande-pueblo-libre-lima-lima-concreta-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/concreta-grupo-inmobiliario/3352-alameda-rio-grande/departamentos-pueblo-libre-66a8f664a8073_xm.jpg,Pueblo Libre,150121,"29 de Noviembre, 2025",63.00 a 162.50 m2,Departamento,2 a 4 dormitorios
LYG INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/lyg-inmobiliaria/logo-544-20240625105831.jpeg,Los Bambúes 125,En Planos,258000,"Calle Los Bambúes 125, Pueblo Libre",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3380-los-bambues-125-pueblo-libre-lima-lima-lyg-inmobiliaria,https://e.nexoinmobiliario.pe/customers/lyg-inmobiliaria/3380-bambu/departamentos-pueblo-libre-667cadc559d77_xm.jpg,Pueblo Libre,150121,"30 de Septiembre, 2025",44.00 a 97.00 m2,Departamento,1 a 3 dormitorios
MS INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/ms-constructores/logo-81-20231027061800.jpg,TOP LIVING,En Planos,399000,Av. Manuel Cipriano Dulanto 1390,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3422-top-living-pueblo-libre-lima-lima-ms-inmobiliaria,https://e.nexoinmobiliario.pe/customers/ms-constructores/3422-top-living/departamentos-pueblo-libre-673b7f5b090bd_xm.jpg,Pueblo Libre,150121,"31 de Agosto, 2026",66.50 a 157.00 m2,Departamento,2 a 3 dormitorios
INIZIA INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/inizia/logo-533-20240313155802.png,Illa Living,En Planos,288500,Granada 194,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3486-illa-living-pueblo-libre-lima-lima-inizia-inmobiliaria,https://e.nexoinmobiliario.pe/customers/inizia/3486-illa-living/departamentos-pueblo-libre-66ec41386aad3_xm.jpg,Pueblo Libre,150121,"28 de Febrero, 2026",37.32 a 129.96 m2,Departamento,1 a 3 dormitorios
