inmobiliaria_nombre,proyecto_nombre,proyecto_etapa,proyecto_direccion,proyecto_distrito,ubigeo_id,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant,fecha,proyecto_tipo,proyecto_medidas,proyecto_dormitorios,dep_disponibilidad,dep_piso,dep_dormitorios,dep_area,dep_modelo,dep_precio
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,1 unidad disponible,11,2 dorm.,66.48 m2,TIPO TD-5,332049
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,1 unidad disponible,10,3 dorm.,65.33 m2,TIPO TD-6,328093
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,2 unidades disponibles,9 y 12,3 dorm.,65.33 m2,TIPO TD-7,324863
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,2 unidades disponibles,9 y 12,3 dorm.,66.48 m2,TIPO TD-8,330406
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,1 unidad disponible,3,3 dorm.,63.92 m2,TIPO TE-6,327499
URBANA PERÚ,S14 Apartments,Entrega Inmediata,Avenida Arequipa N°1437,Cercado de lima,150101,-12.0790538,-77.0350364,20,20,20,20,20,20,20,"30 de Septiembre, 2024",Departamento,66.26 a 129.36 m2,1 a 3 dormitorios,9 unidades disponibles,Entre 7 al 19,3 dorm.,66.26 m2,X03,440000
URBANA PERÚ,S14 Apartments,Entrega Inmediata,Avenida Arequipa N°1437,Cercado de lima,150101,-12.0790538,-77.0350364,20,20,20,20,20,20,20,"30 de Septiembre, 2024",Departamento,66.26 a 129.36 m2,1 a 3 dormitorios,5 unidades disponibles,"9, 10, 11, 16, 19",3 dorm.,69.41 m2,X08,518049
URBANA PERÚ,S14 Apartments,Entrega Inmediata,Avenida Arequipa N°1437,Cercado de lima,150101,-12.0790538,-77.0350364,20,20,20,20,20,20,20,"30 de Septiembre, 2024",Departamento,66.26 a 129.36 m2,1 a 3 dormitorios,2 unidades disponibles,12 y 14,3 dorm.,66.61 m2,X01 B,511791
URBANA PERÚ,S14 Apartments,Entrega Inmediata,Avenida Arequipa N°1437,Cercado de lima,150101,-12.0790538,-77.0350364,20,20,20,20,20,20,20,"30 de Septiembre, 2024",Departamento,66.26 a 129.36 m2,1 a 3 dormitorios,3 unidades disponibles,"7, 11, 13",3 dorm.,66.61 m2,X01 C,517166
URBANA PERÚ,S14 Apartments,Entrega Inmediata,Avenida Arequipa N°1437,Cercado de lima,150101,-12.0790538,-77.0350364,20,20,20,20,20,20,20,"30 de Septiembre, 2024",Departamento,66.26 a 129.36 m2,1 a 3 dormitorios,2 unidades disponibles,12 y 14,3 dorm.,66.26 m2,X02 B,508980
URBANA PERÚ,S14 Apartments,Entrega Inmediata,Avenida Arequipa N°1437,Cercado de lima,150101,-12.0790538,-77.0350364,20,20,20,20,20,20,20,"30 de Septiembre, 2024",Departamento,66.26 a 129.36 m2,1 a 3 dormitorios,4 unidades disponibles,"11, 15, 17, 19",3 dorm.,66.26 m2,X02 C,487232
